Entry_Date,Exit_Date,Type,Strike,Spot,Premium,Exit_Price,Lots,Gross_PnL,Net_PnL,Exit_Reason,RV,IV,Risk_Scaled,Entry_Window,Partial_PnL,Streak_Mult
2025-10-15,2025-10-17,STRADDLE,25300,25323.550000000112,223.35,402.03,182,-812993.94,-823618.3,Stop Loss (1.8x),0.0802,0.1102,False,T-3,0.0,1.0
2025-10-23,2025-10-27,STRADDLE,25900,25891.39999999922,238.85,174.95,168,268379.97,258475.22,Time Exit (stale),0.0843,0.1154,False,T-3,0.0,1.0
2025-10-30,2025-11-03,STRADDLE,25900,25877.850000000777,246.45,177.7,171,293906.3,283775.94,Time Exit (stale),0.0745,0.1031,False,T-3,0.0,1.0
2025-11-06,2025-11-10,STRADDLE,25500,25509.700000000026,218.1,161.0,212,302630.03,290296.12,Time Exit (stale),0.0799,0.1098,False,T-3,0.0,1.2
2025-11-13,2025-11-18,STRADDLE,25900,25879.149999999245,270.6,18.4,213,1.342965e+06,1.3301536e+06,Profit Target (70%),0.0786,0.1083,False,T-3,0.0,1.2
2025-11-20,2025-11-24,STRADDLE,26200,26192.14999999924,242.35,221.2,230,121612.46,108022.2,Time Exit (stale),0.0714,0.0993,False,T-3,0.0,1.2
2025-11-27,2025-12-02,STRADDLE,26200,26215.549999999974,219.15,176.05,231,248902.6,235454.22,Time Exit (stale),0.0823,0.1128,False,T-3,0.0,1.2
2025-12-04,2025-12-08,STRADDLE,26050,26033.75,207.0,148.95,236,342495.03,328863.1,Time Exit (stale),0.072,0.1,False,T-3,0.0,1.2
2025-12-11,2025-12-15,STRADDLE,25900,25898.550000000057,203.95,162.75,242,249259.98,235309.14,Time Exit (stale),0.0815,0.1118,False,T-3,0.0,1.2
2025-12-18,2025-12-22,STRADDLE,25800,25815.550000000083,200.0,360.0,246,-984000.0,-998144.94,Stop Loss (1.8x),0.0794,0.1093,False,T-3,0.0,1.2
2025-12-24,2025-12-29,STRADDLE,26150,26142.100000000733,173.7,208.25,191,-164976.27,-175770.4,Time Exit (stale),0.0714,0.0992,False,T-3,0.0,1.0
2026-01-01,2026-01-05,STRADDLE,26150,26146.55000000013,160.0,121.55,132,126884.98,119492.98,Time Exit (stale),0.0756,0.1045,False,T-3,0.0,0.7
2026-01-08,2026-01-12,STRADDLE,25900,25876.850000000726,191.35,344.43,192,-734783.94,-745761.7,Stop Loss (1.8x),0.0779,0.1073,False,T-3,0.0,1.0
2026-01-14,2026-01-20,STRADDLE,25650,25665.60000000073,249.9,449.82,185,-924629.8,-935613.6,Stop Loss (1.8x),0.0761,0.1051,False,T-3,0.0,1.0
2026-01-21,2026-01-27,STRADDLE,25150,25157.5,315.95,22.85,124,908610.06,900940.9,Profit Target (70%),0.0801,0.1101,False,T-3,0.0,0.7
2026-01-30,2026-02-01,STRADDLE,25300,25320.649999999237,394.45,710.01,187,-1.475243e+06,-1.4873592e+06,Stop Loss (1.8x),0.0921,0.1252,False,T-3,0.0,1.0
