Date,Closed_Equity,Open_Positions,Margin_Used,Equity,Peak_Equity,Drawdown_Pct,Daily_Return,Rolling_Sharpe_30D
2025-09-24,13998577.03,0,0.0,13998577.03,14351179.16,-2.4569558087796928,0.0,5.121256421906609
2025-09-25,13998577.03,2,1096354.78,13998577.05,14351179.16,-2.456955669418315,1.4287167005022638e-09,4.675626905930733
2025-09-26,13478599.45,0,0.0,13478599.45,14351179.16,-6.08019522487796,-0.03714503253743218,1.7208641233255793
2025-09-29,13478599.45,0,0.0,13478599.45,14351179.16,-6.08019522487796,0.0,0.61390587439009
2025-09-30,13478599.45,0,0.0,13478599.45,14351179.16,-6.08019522487796,0.0,0.61390587439009
2025-10-01,13478599.45,0,0.0,13478599.45,14351179.16,-6.08019522487796,0.0,-0.05540612817569312
2025-10-03,13478599.45,0,0.0,13478599.45,14351179.16,-6.08019522487796,0.0,0.04455522431395081
2025-10-06,13478599.45,0,0.0,13478599.45,14351179.16,-6.08019522487796,0.0,0.09624131305712294
2025-10-07,13478599.45,0,0.0,13478599.45,14351179.16,-6.08019522487796,0.0,0.09624131305712294
2025-10-08,13478599.45,0,0.0,13478599.45,14351179.16,-6.08019522487796,0.0,-0.443931064464709
2025-10-09,13478599.45,1,675187.01,13478599.45,14351179.16,-6.08019522487796,0.0,-0.9062414229572687
2025-10-10,13227910.14,0,0.0,13227910.14,14351179.16,-7.82701551891154,-0.01859906223416996,-0.7960198409060462
2025-10-13,13227910.14,0,0.0,13227910.14,14351179.16,-7.82701551891154,0.0,-1.9279506815634726
2025-10-14,13227910.14,0,0.0,13227910.14,14351179.16,-7.82701551891154,0.0,-2.0272171006090365
2025-10-15,13227910.14,0,0.0,13227910.14,14351179.16,-7.82701551891154,0.0,-1.7126433022024885
2025-10-16,13227910.14,0,0.0,13227910.14,14351179.16,-7.82701551891154,0.0,-1.7126433022024885
2025-10-17,13227910.14,0,0.0,13227910.14,14351179.16,-7.82701551891154,0.0,-1.7126433022024885
2025-10-20,13227910.14,0,0.0,13227910.14,14351179.16,-7.82701551891154,0.0,-2.3166340723622305
2025-10-21,13227910.14,0,0.0,13227910.14,14351179.16,-7.82701551891154,0.0,-3.312186913529929
2025-10-23,13227910.14,1,668969.05,13227910.14,14351179.16,-7.82701551891154,0.0,-3.4995902588785155
2025-10-24,13227910.14,1,668969.05,13358091.36,14351179.16,-6.919903855482223,0.009841404925056363,-2.8736283657045414
